text,home_team,away_team,result,result_text,home_score,away_score,date,sport,league
本場football比賽由曼聯主場迎戰利物浦。 曼聯近期狀態一般，利物浦近期狀態良好。 曼聯目前排名第4位，利物浦排名第3位。 雙方過去9次交手，曼聯獲勝3場，平局3場，利物浦獲勝3場。 曼聯有10名主力球員可以出戰，利物浦有9名主力球員可以出戰。 曼聯目前有3名球員受傷，利物浦有3名球員受傷。 比賽當天天氣為晴天，氣溫約15.8度。 根據賠率，曼聯被看好獲勝。,曼聯,利物浦,1,平局,3,3,2025-01-03,football,premier_league
本場football比賽由曼城主場迎戰切爾西。 曼城近期狀態極佳，切爾西近期狀態一般。 曼城目前排名第1位，切爾西排名第7位。 雙方過去5次交手，曼城獲勝3場，平局0場，切爾西獲勝2場。 曼城有8名主力球員可以出戰，切爾西有11名主力球員可以出戰。 曼城目前有2名球員受傷，切爾西有2名球員受傷。 比賽當天天氣為晴天，氣溫約13.7度。 根據賠率，曼城被看好獲勝。,曼城,切爾西,2,主勝,4,3,2024-09-10,football,premier_league
本場football比賽由熱刺主場迎戰阿森納。 熱刺近期狀態一般，阿森納近期狀態良好。 熱刺目前排名第5位，阿森納排名第2位。 雙方過去5次交手，熱刺獲勝4場，平局1場，阿森納獲勝0場。 熱刺有8名主力球員可以出戰，阿森納有9名主力球員可以出戰。 熱刺目前有3名球員受傷，阿森納有1名球員受傷。 比賽當天天氣為小雨，氣溫約8.2度。 根據賠率，熱刺被看好獲勝。,熱刺,阿森納,1,平局,0,0,2025-03-02,football,premier_league
本場football比賽由利物浦主場迎戰布萊頓。 利物浦近期狀態良好，布萊頓近期狀態一般。 利物浦目前排名第3位，布萊頓排名第8位。 雙方過去5次交手，利物浦獲勝1場，平局1場，布萊頓獲勝3場。 利物浦有9名主力球員可以出戰，布萊頓有9名主力球員可以出戰。 比賽當天天氣為陰天，氣溫約10.9度。 根據賠率，利物浦被看好獲勝。,利物浦,布萊頓,2,主勝,1,0,2024-12-16,football,premier_league
本場football比賽由曼聯主場迎戰切爾西。 曼聯近期狀態一般，切爾西近期狀態一般。 曼聯目前排名第4位，切爾西排名第7位。 雙方過去9次交手，曼聯獲勝4場，平局3場，切爾西獲勝2場。 曼聯有8名主力球員可以出戰，切爾西有8名主力球員可以出戰。 曼聯目前有2名球員受傷，切爾西有0名球員受傷。 比賽當天天氣為強風，氣溫約19.3度。 根據賠率，曼聯被看好獲勝。,曼聯,切爾西,2,主勝,2,1,2025-02-10,football,premier_league
本場football比賽由熱刺主場迎戰曼城。 熱刺近期狀態一般，曼城近期狀態極佳。 熱刺目前排名第5位，曼城排名第1位。 雙方過去8次交手，熱刺獲勝4場，平局1場，曼城獲勝3場。 熱刺有9名主力球員可以出戰，曼城有9名主力球員可以出戰。 比賽當天天氣為強風，氣溫約6.3度。 根據賠率，熱刺被看好獲勝。,熱刺,曼城,2,主勝,2,1,2024-12-17,football,premier_league
本場football比賽由切爾西主場迎戰布萊頓。 切爾西近期狀態一般，布萊頓近期狀態一般。 切爾西目前排名第7位，布萊頓排名第8位。 雙方過去7次交手，切爾西獲勝2場，平局3場，布萊頓獲勝2場。 切爾西有8名主力球員可以出戰，布萊頓有8名主力球員可以出戰。 切爾西目前有3名球員受傷，布萊頓有3名球員受傷。 比賽當天天氣為陰天，氣溫約7.6度。 根據賠率，切爾西被看好獲勝。,切爾西,布萊頓,2,主勝,4,0,2024-09-10,football,premier_league
本場football比賽由布萊頓主場迎戰切爾西。 布萊頓近期狀態一般，切爾西近期狀態一般。 布萊頓目前排名第8位，切爾西排名第7位。 雙方過去12次交手，布萊頓獲勝5場，平局2場，切爾西獲勝5場。 布萊頓有8名主力球員可以出戰，切爾西有10名主力球員可以出戰。 布萊頓目前有3名球員受傷，切爾西有1名球員受傷。 比賽當天天氣為強風，氣溫約11.1度。 根據賠率，布萊頓被看好獲勝。,布萊頓,切爾西,2,主勝,3,2,2024-10-24,football,premier_league
本場football比賽由紐卡斯爾主場迎戰熱刺。 紐卡斯爾近期狀態一般，熱刺近期狀態一般。 紐卡斯爾目前排名第6位，熱刺排名第5位。 雙方過去6次交手，紐卡斯爾獲勝5場，平局1場，熱刺獲勝0場。 紐卡斯爾有9名主力球員可以出戰，熱刺有11名主力球員可以出戰。 紐卡斯爾目前有3名球員受傷，熱刺有3名球員受傷。 比賽當天天氣為晴天，氣溫約5.7度。 根據賠率，紐卡斯爾被看好獲勝。,紐卡斯爾,熱刺,2,主勝,2,1,2024-10-25,football,premier_league
本場football比賽由切爾西主場迎戰利物浦。 切爾西近期狀態一般，利物浦近期狀態良好。 切爾西目前排名第7位，利物浦排名第3位。 雙方過去10次交手，切爾西獲勝5場，平局1場，利物浦獲勝4場。 切爾西有9名主力球員可以出戰，利物浦有10名主力球員可以出戰。 切爾西目前有3名球員受傷，利物浦有0名球員受傷。 比賽當天天氣為晴天，氣溫約13.4度。 根據賠率，切爾西被看好獲勝。,切爾西,利物浦,2,主勝,4,2,2025-02-23,football,premier_league
